Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
rsmH mraW VC_2409	GO:0005737; GO:0070475; GO:0071424	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]
ftsI VC_2407	GO:0000917; GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0043093; GO:0071555	cell wall organization [GO:0071555]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	plasma membrane [GO:0005886]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]
murF VC_2405	GO:0005524; GO:0005737; GO:0008360; GO:0008766; GO:0009252; GO:0047480; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity [GO:0047480]; UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity [GO:0008766]
mraY VC_2404	GO:0005886; GO:0008360; GO:0008963; GO:0009252; GO:0044038; GO:0046872; GO:0051301; GO:0051992; GO:0071555	cell division [GO:0051301]; cell wall macromolecule biosynthetic process [GO:0044038]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	plasma membrane [GO:0005886]	metal ion binding [GO:0046872]; phospho-N-acetylmuramoyl-pentapeptide-transferase activity [GO:0008963]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity [GO:0051992]
murD VC_2403	GO:0005524; GO:0005737; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]
ftsW VC_2402	GO:0005886; GO:0008360; GO:0008955; GO:0009252; GO:0015648; GO:0032153; GO:0043093; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell division site [GO:0032153]; plasma membrane [GO:0005886]	lipid-linked peptidoglycan transporter activity [GO:0015648]; peptidoglycan glycosyltransferase activity [GO:0008955]
murG VC_2401	GO:0005886; GO:0005975; GO:0008360; GO:0009252; GO:0030259; GO:0050511; GO:0051301; GO:0051991; GO:0071555	carbohydrate metabolic process [GO:0005975]; cell division [GO:0051301]; cell wall organization [GO:0071555]; lipid glycosylation [GO:0030259]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	plasma membrane [GO:0005886]	UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991]; undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511]
murC VC_2400	GO:0005524; GO:0005737; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]
ftsZ VC_2397	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258; GO:0051301	cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	cell division site [GO:0032153]; cytoplasm [GO:0005737]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
lpxC VC_2396	GO:0009245; GO:0016020; GO:0046872; GO:0103117	lipid A biosynthetic process [GO:0009245]	membrane [GO:0016020]	metal ion binding [GO:0046872]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]
secA VC_2394	GO:0005524; GO:0005737; GO:0005886; GO:0006605; GO:0008564; GO:0017038; GO:0031522; GO:0043952; GO:0046872; GO:0065002	intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952]	cell envelope Sec protein transport complex [GO:0031522]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein-exporting ATPase activity [GO:0008564]
VC_2392	GO:0006260; GO:0006281; GO:0008413; GO:0035539; GO:0044715; GO:0044716; GO:0046872	DNA repair [GO:0006281]; DNA replication [GO:0006260]		8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; 8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; metal ion binding [GO:0046872]
dapB VC_2391	GO:0005829; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytosol [GO:0005829]	4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]
btuF VC_2381	GO:0015889; GO:0031419; GO:0042597	cobalamin transport [GO:0015889]	periplasmic space [GO:0042597]	cobalamin binding [GO:0031419]
mtnN VC_2379	GO:0005829; GO:0008782; GO:0008930; GO:0009164; GO:0019284; GO:0019509	L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; nucleoside catabolic process [GO:0009164]	cytosol [GO:0005829]	adenosylhomocysteine nucleosidase activity [GO:0008782]; methylthioadenosine nucleosidase activity [GO:0008930]
VC_2376	GO:0006537; GO:0015930; GO:0019676; GO:0046872; GO:0051538	ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]		3 iron, 4 sulfur cluster binding [GO:0051538]; glutamate synthase activity [GO:0015930]; metal ion binding [GO:0046872]
VC_2366	GO:0008428; GO:0008948; GO:0046872; GO:0047443; GO:0051252	regulation of RNA metabolic process [GO:0051252]		4-hydroxy-4-methyl-2-oxoglutarate aldolase activity [GO:0047443]; metal ion binding [GO:0046872]; oxaloacetate decarboxylase activity [GO:0008948]; ribonuclease inhibitor activity [GO:0008428]
nfo VC_2360	GO:0003677; GO:0003906; GO:0006284; GO:0008081; GO:0008270; GO:0008833	base-excision repair [GO:0006284]		deoxyribonuclease IV (phage-T4-induced) activity [GO:0008833]; DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; phosphoric diester hydrolase activity [GO:0008081]; zinc ion binding [GO:0008270]
deoC VC_2350	GO:0004139; GO:0005737; GO:0006018; GO:0009264; GO:0016052	2-deoxyribose 1-phosphate catabolic process [GO:0006018]; carbohydrate catabolic process [GO:0016052]; deoxyribonucleotide catabolic process [GO:0009264]	cytoplasm [GO:0005737]	deoxyribose-phosphate aldolase activity [GO:0004139]
deoA VC_2349	GO:0004645; GO:0005829; GO:0006206; GO:0009032; GO:0046104	pyrimidine nucleobase metabolic process [GO:0006206]; thymidine metabolic process [GO:0046104]	cytosol [GO:0005829]	1,4-alpha-oligoglucan phosphorylase activity [GO:0004645]; thymidine phosphorylase activity [GO:0009032]
deoB VC_2348	GO:0000287; GO:0005829; GO:0006015; GO:0006018; GO:0008973; GO:0009117; GO:0030145; GO:0043094	2-deoxyribose 1-phosphate catabolic process [GO:0006018]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; metabolic compound salvage [GO:0043094]; nucleotide metabolic process [GO:0009117]	cytosol [GO:0005829]	magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphopentomutase activity [GO:0008973]
deoD1 VC_2347	GO:0004731; GO:0005829; GO:0006152	purine nucleoside catabolic process [GO:0006152]	cytosol [GO:0005829]	purine-nucleoside phosphorylase activity [GO:0004731]
VC_2345	GO:0000287; GO:0005737; GO:0006564; GO:0036424	L-serine biosynthetic process [GO:0006564]	cytoplasm [GO:0005737]	L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]
dapD VC_2329	GO:0000287; GO:0005737; GO:0008666; GO:0009089; GO:0019877	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytoplasm [GO:0005737]	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity [GO:0008666]; magnesium ion binding [GO:0000287]
recD VC_2319	GO:0000724; GO:0003677; GO:0005524; GO:0006310; GO:0008854; GO:0009338; GO:0016887; GO:0017116; GO:0043139	DNA recombination [GO:0006310]; double-strand break repair via homologous recombination [GO:0000724]	exodeoxyribonuclease V complex [GO:0009338]	5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; exodeoxyribonuclease V activity [GO:0008854]; single-stranded DNA helicase activity [GO:0017116]
mltA VC_2312	GO:0004553; GO:0008933; GO:0009253; GO:0009254; GO:0009279; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]; peptidoglycan turnover [GO:0009254]	cell outer membrane [GO:0009279]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; peptidoglycan lytic transglycosylase activity [GO:0008933]
panE VC_2307	GO:0005737; GO:0008677; GO:0015940; GO:0050661	pantothenate biosynthetic process [GO:0015940]	cytoplasm [GO:0005737]	2-dehydropantoate 2-reductase activity [GO:0008677]; NADP binding [GO:0050661]
rlmG VC_2297	GO:0003676; GO:0005737; GO:0008990; GO:0052916; GO:0070475	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	23S rRNA (guanine(1835)-N(2))-methyltransferase activity [GO:0052916]; nucleic acid binding [GO:0003676]; rRNA (guanine-N2-)-methyltransferase activity [GO:0008990]
nqrB VC_2294	GO:0005886; GO:0006814; GO:0010181; GO:0016655; GO:0022904; GO:0055085	respiratory electron transport chain [GO:0022904]; sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]
dinB VC_2287	GO:0000287; GO:0003684; GO:0003887; GO:0005737; GO:0006261; GO:0009432; GO:0042276	DNA-templated DNA replication [GO:0006261]; error-prone translesion synthesis [GO:0042276]; SOS response [GO:0009432]	cytoplasm [GO:0005737]	damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; magnesium ion binding [GO:0000287]
proB VC_2274	GO:0003723; GO:0004349; GO:0005524; GO:0005829; GO:0006561; GO:0055129	L-proline biosynthetic process [GO:0055129]; proline biosynthetic process [GO:0006561]	cytosol [GO:0005829]	ATP binding [GO:0005524]; glutamate 5-kinase activity [GO:0004349]; RNA binding [GO:0003723]
proA VC_2273	GO:0004350; GO:0005737; GO:0050661; GO:0055129	L-proline biosynthetic process [GO:0055129]	cytoplasm [GO:0005737]	glutamate-5-semialdehyde dehydrogenase activity [GO:0004350]; NADP binding [GO:0050661]
VC_2271	GO:0008270; GO:0008703; GO:0008835; GO:0009231; GO:0050661	riboflavin biosynthetic process [GO:0009231]		5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]; NADP binding [GO:0050661]; zinc ion binding [GO:0008270]
ribB VC_2269	GO:0000287; GO:0003935; GO:0005829; GO:0008686; GO:0009231; GO:0030145	riboflavin biosynthetic process [GO:0009231]	cytosol [GO:0005829]	3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; GTP cyclohydrolase II activity [GO:0003935]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]
ribH VC_2268	GO:0000906; GO:0005737; GO:0005829; GO:0009231; GO:0009349	riboflavin biosynthetic process [GO:0009231]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; riboflavin synthase complex [GO:0009349]	6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]
thiL VC_2266	GO:0000287; GO:0005524; GO:0009030; GO:0009228; GO:0009229	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]		ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; thiamine-phosphate kinase activity [GO:0009030]
glnD VC_2262	GO:0006808; GO:0008081; GO:0008773	regulation of nitrogen utilization [GO:0006808]		[protein-PII] uridylyltransferase activity [GO:0008773]; phosphoric diester hydrolase activity [GO:0008081]
map VC_2261	GO:0004239; GO:0005506; GO:0005829; GO:0006508; GO:0070006	proteolysis [GO:0006508]	cytosol [GO:0005829]	initiator methionyl aminopeptidase activity [GO:0004239]; iron ion binding [GO:0005506]; metalloaminopeptidase activity [GO:0070006]
pyrH VC_2258	GO:0005524; GO:0005829; GO:0006225; GO:0033862; GO:0044210	'de novo' CTP biosynthetic process [GO:0044210]; UDP biosynthetic process [GO:0006225]	cytosol [GO:0005829]	ATP binding [GO:0005524]; UMP kinase activity [GO:0033862]
uppS VC_2256	GO:0000287; GO:0005829; GO:0008360; GO:0008834; GO:0009252; GO:0016094; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; polyprenol biosynthetic process [GO:0016094]; regulation of cell shape [GO:0008360]	cytosol [GO:0005829]	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific] activity [GO:0008834]; magnesium ion binding [GO:0000287]
dxr VC_2254	GO:0030145; GO:0030604; GO:0051484; GO:0070402	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process [GO:0051484]		1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]; manganese ion binding [GO:0030145]; NADPH binding [GO:0070402]
fabZ VC_2249	GO:0005737; GO:0006633; GO:0009245; GO:0016020; GO:0019171	fatty acid biosynthetic process [GO:0006633]; lipid A biosynthetic process [GO:0009245]	cytoplasm [GO:0005737]; membrane [GO:0016020]	(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]
accA VC_2244	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:2001295	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	acetyl-CoA carboxylase complex [GO:0009317]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]
gloB VC_2236	GO:0004416; GO:0019243; GO:0046872	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]		hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]
rnhA VC_2234	GO:0000287; GO:0003676; GO:0004523; GO:0005737; GO:0043137	DNA replication, removal of RNA primer [GO:0043137]	cytoplasm [GO:0005737]	magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
dnaQ VC_2233	GO:0003677; GO:0003887; GO:0005829; GO:0008408; GO:0045004; GO:0046872	DNA replication proofreading [GO:0045004]	cytosol [GO:0005829]	3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]
VC_2231	GO:0003995; GO:0004466; GO:0005737; GO:0016020; GO:0033539; GO:0050660; GO:0070991	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	cytoplasm [GO:0005737]; membrane [GO:0016020]	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; long-chain fatty acyl-CoA dehydrogenase activity [GO:0004466]; medium-chain fatty acyl-CoA dehydrogenase activity [GO:0070991]
gmhA VC_2230	GO:0005829; GO:0008270; GO:0008968; GO:0009244; GO:0097367; GO:2001061	D-glycero-D-manno-heptose 7-phosphate biosynthetic process [GO:2001061]; lipopolysaccharide core region biosynthetic process [GO:0009244]	cytosol [GO:0005829]	carbohydrate derivative binding [GO:0097367]; D-sedoheptulose 7-phosphate isomerase activity [GO:0008968]; zinc ion binding [GO:0008270]
purN VC_2227	GO:0004644; GO:0005737; GO:0005829; GO:0006189	'de novo' IMP biosynthetic process [GO:0006189]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	phosphoribosylglycinamide formyltransferase activity [GO:0004644]
purM VC_2226	GO:0004637; GO:0004641; GO:0005524; GO:0005829; GO:0006164; GO:0006189; GO:0046084	'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleotide biosynthetic process [GO:0006164]	cytosol [GO:0005829]	ATP binding [GO:0005524]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]
upp VC_2225	GO:0000287; GO:0004845; GO:0005525; GO:0005737; GO:0005829; GO:0006223; GO:0044206	UMP salvage [GO:0044206]; uracil salvage [GO:0006223]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]
flgH VC_2194	GO:0003774; GO:0009279; GO:0009427; GO:0071973	bacterial-type flagellum-dependent cell motility [GO:0071973]	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]; cell outer membrane [GO:0009279]	cytoskeletal motor activity [GO:0003774]
flgJ VC_2192	GO:0004040; GO:0016798; GO:0042597; GO:0044780; GO:0071555; GO:0071973	bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]; cell wall organization [GO:0071555]	periplasmic space [GO:0042597]	amidase activity [GO:0004040]; hydrolase activity, acting on glycosyl bonds [GO:0016798]
pth VC_2184	GO:0000049; GO:0004045; GO:0005737; GO:0006515; GO:0072344	protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; rescue of stalled ribosome [GO:0072344]	cytoplasm [GO:0005737]	peptidyl-tRNA hydrolase activity [GO:0004045]; tRNA binding [GO:0000049]
ispE VC_2182	GO:0005524; GO:0016114; GO:0019288; GO:0050515	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity [GO:0050515]; ATP binding [GO:0005524]
hemA VC_2180	GO:0008883; GO:0019353; GO:0050661	protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]		glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661]
prmC hemK VC_2178	GO:0003676; GO:0006415; GO:0032259; GO:0036009; GO:0102559	methylation [GO:0032259]; translational termination [GO:0006415]		nucleic acid binding [GO:0003676]; protein-(glutamine-N5) methyltransferase activity [GO:0102559]; protein-glutamine N-methyltransferase activity [GO:0036009]
nutA VC_2174	GO:0000166; GO:0008253; GO:0008768; GO:0009166; GO:0009279; GO:0030288; GO:0046872	nucleotide catabolic process [GO:0009166]	cell outer membrane [GO:0009279]; outer membrane-bounded periplasmic space [GO:0030288]	5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; UDP-sugar diphosphatase activity [GO:0008768]
VC_2164	GO:0004222; GO:0008270; GO:0016020; GO:0042597; GO:0051603; GO:0061077	chaperone-mediated protein folding [GO:0061077]; proteolysis involved in protein catabolic process [GO:0051603]	membrane [GO:0016020]; periplasmic space [GO:0042597]	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
dapA VC_2157	GO:0005829; GO:0008840; GO:0009089; GO:0019877	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytosol [GO:0005829]	4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]
dapE VC_2152	GO:0005829; GO:0008270; GO:0009014; GO:0009089; GO:0019877; GO:0050897	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytosol [GO:0005829]	cobalt ion binding [GO:0050897]; succinyl-diaminopimelate desuccinylase activity [GO:0009014]; zinc ion binding [GO:0008270]
fliD VC_2140	GO:0005576; GO:0007155; GO:0009421; GO:0009424; GO:0071973	bacterial-type flagellum-dependent cell motility [GO:0071973]; cell adhesion [GO:0007155]	bacterial-type flagellum filament cap [GO:0009421]; bacterial-type flagellum hook [GO:0009424]; extracellular region [GO:0005576]	
aroC VC_2116	GO:0004107; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0010181	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	cytosol [GO:0005829]	chorismate synthase activity [GO:0004107]; FMN binding [GO:0010181]
mnmC VC_2110	GO:0002098; GO:0004808; GO:0005737; GO:0016645; GO:0032259; GO:0050660	methylation [GO:0032259]; tRNA wobble uridine modification [GO:0002098]	cytoplasm [GO:0005737]	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-NH group of donors [GO:0016645]; tRNA (5-methylaminomethyl-2-thiouridylate)(34)-methyltransferase activity [GO:0004808]
pdxB VC_2108	GO:0005829; GO:0008615; GO:0033711; GO:0036001; GO:0046983; GO:0051287	'de novo' pyridoxal 5'-phosphate biosynthetic process [GO:0036001]; pyridoxine biosynthetic process [GO:0008615]	cytosol [GO:0005829]	4-phosphoerythronate dehydrogenase activity [GO:0033711]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]
VC_2089	GO:0000104; GO:0005886; GO:0006099; GO:0008177; GO:0009055; GO:0009061; GO:0022900; GO:0050660	anaerobic respiration [GO:0009061]; electron transport chain [GO:0022900]; tricarboxylic acid cycle [GO:0006099]	plasma membrane [GO:0005886]	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]
